freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.590e+02,9.498e+01,1.821e+01,3.722e+02
1.6,2.527e+02,3.415e+02,7.018e+01,6.644e+02
3.2,2.189e+02,3.463e+02,7.650e+01,6.417e+02
4.8,6.455e+02,2.913e+02,9.396e+01,1.031e+03
6.3,1.529e+03,4.164e+02,9.384e+01,2.039e+03
7.9,2.457e+03,4.055e+02,1.072e+02,2.970e+03
9.5,3.682e+03,4.357e+02,1.286e+02,4.246e+03
11.1,5.152e+03,3.734e+02,1.572e+02,5.682e+03
12.7,4.187e+03,4.165e+02,1.597e+02,4.763e+03
14.3,4.414e+03,4.101e+02,1.269e+02,4.951e+03
15.8,6.133e+03,4.024e+02,1.031e+02,6.639e+03
17.4,7.944e+03,3.984e+02,9.245e+01,8.435e+03
19.0,1.006e+04,3.859e+02,8.612e+01,1.053e+04
20.6,1.234e+04,3.685e+02,8.335e+01,1.279e+04
22.2,1.495e+04,3.460e+02,7.727e+01,1.537e+04
23.8,1.820e+04,3.915e+02,9.435e+01,1.869e+04
25.3,2.054e+04,4.226e+02,1.049e+02,2.106e+04
26.9,2.352e+04,4.036e+02,8.797e+01,2.401e+04
28.5,2.695e+04,3.779e+02,9.051e+01,2.742e+04
30.1,3.114e+04,3.977e+02,1.095e+02,3.165e+04
31.7,3.577e+04,4.216e+02,1.673e+02,3.636e+04
33.3,4.003e+04,4.340e+02,2.153e+02,4.068e+04
34.8,4.427e+04,5.055e+02,2.271e+02,4.500e+04
36.4,5.157e+04,4.984e+02,1.968e+02,5.227e+04
38.0,6.335e+04,4.590e+02,1.691e+02,6.398e+04
39.6,7.851e+04,4.507e+02,1.389e+02,7.910e+04
41.2,8.097e+04,3.705e+02,1.115e+02,8.145e+04
42.8,6.539e+04,2.806e+02,1.017e+02,6.578e+04
44.3,5.957e+04,2.967e+02,1.237e+02,5.999e+04
45.9,7.491e+04,3.287e+02,1.226e+02,7.536e+04
47.5,7.536e+04,3.207e+02,1.374e+02,7.582e+04
49.1,7.357e+04,3.402e+02,1.363e+02,7.405e+04
50.7,9.217e+04,3.444e+02,1.014e+02,9.262e+04
52.3,1.104e+05,3.211e+02,1.034e+02,1.108e+05
53.8,1.195e+05,3.209e+02,9.499e+01,1.199e+05
55.4,1.331e+05,3.596e+02,1.042e+02,1.335e+05
57.0,1.829e+05,3.373e+02,1.046e+02,1.834e+05
58.6,2.549e+05,2.897e+02,9.703e+01,2.553e+05
60.2,3.093e+05,3.664e+02,1.139e+02,3.098e+05
61.8,3.088e+05,5.341e+02,1.298e+02,3.095e+05
63.3,3.653e+05,9.197e+02,2.441e+02,3.665e+05
64.9,4.957e+05,1.481e+03,5.273e+02,4.977e+05
66.5,6.320e+05,3.733e+03,1.260e+03,6.370e+05
68.1,7.720e+05,1.146e+04,3.600e+03,7.871e+05
69.7,8.790e+05,1.991e+04,6.204e+03,9.051e+05
71.3,9.912e+05,2.353e+04,7.076e+03,1.022e+06
72.8,9.652e+05,2.133e+04,5.852e+03,9.924e+05
74.4,6.337e+05,1.442e+04,3.818e+03,6.519e+05
76.0,4.838e+05,1.614e+04,4.682e+03,5.047e+05
77.6,4.190e+05,1.776e+04,5.313e+03,4.420e+05
79.2,3.315e+05,2.025e+04,6.256e+03,3.580e+05
80.8,2.550e+05,2.677e+04,8.878e+03,2.907e+05
