freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.137e+00,2.615e+01,6.245e+01,9.374e+01
1.6,1.589e+01,2.871e+01,6.293e+01,1.075e+02
3.2,1.843e+01,1.821e+01,5.562e+01,9.226e+01
4.7,1.802e+01,1.840e+01,4.726e+02,5.090e+02
6.3,1.663e+01,1.964e+01,1.517e+03,1.554e+03
7.9,2.518e+01,2.105e+01,2.883e+03,2.929e+03
9.5,1.210e+02,2.212e+01,4.826e+03,4.969e+03
11.1,2.141e+02,2.059e+01,3.748e+03,3.982e+03
12.7,1.637e+02,1.761e+01,3.174e+03,3.355e+03
14.2,6.646e+01,1.666e+01,4.081e+03,4.164e+03
15.8,2.959e+01,2.025e+01,6.775e+03,6.824e+03
17.4,2.764e+01,2.366e+01,9.952e+03,1.000e+04
19.0,3.169e+01,3.631e+01,1.346e+04,1.353e+04
20.6,4.776e+01,3.778e+01,1.810e+04,1.819e+04
22.2,5.025e+01,4.359e+01,2.210e+04,2.219e+04
23.7,1.034e+02,7.928e+01,2.427e+04,2.445e+04
25.3,1.797e+02,1.075e+02,2.123e+04,2.152e+04
26.9,1.225e+02,7.484e+01,1.374e+04,1.394e+04
28.5,1.004e+02,1.173e+02,1.491e+04,1.513e+04
30.1,1.275e+02,1.527e+02,1.807e+04,1.835e+04
31.7,9.366e+01,1.294e+02,2.004e+04,2.026e+04
33.2,8.258e+01,5.495e+01,2.034e+04,2.048e+04
34.8,8.124e+01,3.562e+01,1.940e+04,1.952e+04
36.4,7.437e+01,5.271e+01,2.437e+04,2.449e+04
38.0,7.930e+01,6.044e+01,3.098e+04,3.112e+04
39.6,1.301e+02,7.457e+01,3.213e+04,3.233e+04
41.2,1.102e+02,1.516e+02,1.883e+04,1.909e+04
42.7,8.912e+01,2.202e+02,7.498e+03,7.807e+03
44.3,1.242e+02,2.948e+02,7.113e+03,7.532e+03
45.9,2.316e+02,3.982e+02,7.805e+03,8.435e+03
47.5,3.387e+02,5.208e+02,9.063e+03,9.922e+03
49.1,2.785e+02,6.904e+02,1.101e+04,1.198e+04
50.7,2.436e+02,8.804e+02,1.324e+04,1.436e+04
52.2,2.254e+02,1.088e+03,1.371e+04,1.502e+04
53.8,2.778e+02,1.484e+03,1.343e+04,1.519e+04
55.4,3.111e+02,2.020e+03,1.585e+04,1.818e+04
57.0,3.356e+02,2.396e+03,1.762e+04,2.035e+04
58.6,4.662e+02,3.115e+03,1.783e+04,2.141e+04
60.2,8.475e+02,4.500e+03,2.016e+04,2.551e+04
61.7,7.796e+02,5.833e+03,2.206e+04,2.867e+04
63.3,5.987e+02,7.144e+03,2.287e+04,3.061e+04
64.9,6.331e+02,8.906e+03,2.366e+04,3.320e+04
66.5,4.346e+02,1.203e+04,2.497e+04,3.743e+04
68.1,2.398e+02,1.563e+04,2.482e+04,4.069e+04
